
---------- Begin Simulation Statistics ----------
final_tick                                14109676500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 113084                       # Simulator instruction rate (inst/s)
host_mem_usage                                 661260                       # Number of bytes of host memory used
host_op_rate                                   225430                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    99.84                       # Real time elapsed on the host
host_tick_rate                              141318675                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    11290577                       # Number of instructions simulated
sim_ops                                      22507585                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.014110                       # Number of seconds simulated
sim_ticks                                 14109676500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   8126544                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6523998                       # number of cc regfile writes
system.cpu.committedInsts                    11290577                       # Number of Instructions Simulated
system.cpu.committedOps                      22507585                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.499372                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.499372                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   9617464                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  9568042                       # number of floating regfile writes
system.cpu.idleCycles                           35671                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                29167                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1625531                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.081128                       # Inst execution rate
system.cpu.iew.exec_refs                     12687420                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      26755                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 7658496                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               4868341                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4615                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                27440                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            22862065                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              12660665                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             55736                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              30508747                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  54701                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4055987                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  25411                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4197041                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             15                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1451                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27716                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  23345229                       # num instructions consuming a value
system.cpu.iew.wb_count                      22634815                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.727198                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16976614                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.802103                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22636745                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 36757079                       # number of integer regfile reads
system.cpu.int_regfile_writes                11390968                       # number of integer regfile writes
system.cpu.ipc                               0.400100                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.400100                       # IPC: Total IPC of All Threads
system.tol2bus.snoops                          174950                       # Total snoops (count)
system.tol2bus.snoopTraffic                     88832                       # Total snoop traffic (bytes)
system.tol2bus.snoop_fanout::samples          1606734                       # Request fanout histogram
system.tol2bus.snoop_fanout::mean            0.001947                       # Request fanout histogram
system.tol2bus.snoop_fanout::stdev           0.044087                       # Request fanout histogram
system.tol2bus.snoop_fanout::underflows             0      0.00%      0.00% # Request fanout histogram
system.tol2bus.snoop_fanout::0                1603605     99.81%     99.81% # Request fanout histogram
system.tol2bus.snoop_fanout::1                   3129      0.19%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::2                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::3                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::4                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::overflows              0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::min_value              0                       # Request fanout histogram
system.tol2bus.snoop_fanout::max_value              1                       # Request fanout histogram
system.tol2bus.snoop_fanout::total            1606734                       # Request fanout histogram
system.tol2bus.power_state.pwrStateResidencyTicks::UNDEFINED  14109676500                       # Cumulative time (in ticks) in various power states
system.tol2bus.reqLayer0.occupancy         1432869500                       # Layer occupancy (ticks)
system.tol2bus.reqLayer0.utilization             10.2                       # Layer utilization (%)
system.tol2bus.respLayer0.occupancy            705000                       # Layer occupancy (ticks)
system.tol2bus.respLayer0.utilization             0.0                       # Layer utilization (%)
system.tol2bus.respLayer1.occupancy        2146969500                       # Layer occupancy (ticks)
system.tol2bus.respLayer1.utilization            15.2                       # Layer utilization (%)
system.voltage_domain.voltage                       1                       # Voltage in Volts

---------- End Simulation Statistics   ----------
